,mean,sd,q5,q95
Moody,0.2889673133301487,0.09822103595580152,0.12439305629894183,0.4555016299110734
Overcoat,0.2403846621208794,0.17370253015974746,-0.040755315050602765,0.5147684084366274
Competitive,0.22434708495228342,0.08419852377480917,0.07552831310962498,0.36064184360030443
Telepathy,0.21050679180641768,0.14575843152087734,-0.032749062425413714,0.4618434168606648
Scrappy,0.19259193712296632,0.08892934149166204,0.04354878865148859,0.3328360154745156
Unnerve,0.18375724127608542,0.05842596318333858,0.08617840242456501,0.2866379659396492
Huge Power,0.16988905460430026,0.1495718273754594,-0.06159029350932862,0.4296672195135679
Friend Guard,0.16664910688284246,0.07941490055224668,0.036594753135562166,0.293700395436919
Flame Body,0.16097186195058386,0.15263444626076234,-0.08797770781742034,0.41780334536460156
Snow Warning,0.16049273483303594,0.07062896632270023,0.04953174404661146,0.27398511502390976
Sand Rush,0.1431431369150809,0.08404933358369039,0.0014352854608731557,0.28152634062221565
Unburden,0.13722025652503536,0.05189463901700629,0.05248014052247809,0.22327910712175753
Limber,0.1353744961590529,0.1751631168232797,-0.15218682031635927,0.41513257826272115
Regenerator,0.13308102183521167,0.10081369353317322,-0.030611048459207812,0.3006900565316758
Symbiosis,0.13102037825623813,0.22404565359493434,-0.22835179444276535,0.5019573599193733
Poison Touch,0.1246090726806835,0.07576473315800109,0.005666752914658113,0.245306174532131
Stamina,0.11907795629904673,0.09457592787296526,-0.03250841323754057,0.2755521381906749
Drought,0.11711593600818926,0.07216378480314037,0.004793882517439743,0.23913890195790583
Aroma Veil,0.10443615543355972,0.18165815554835865,-0.17475785156957377,0.3969833554209048
Queenly Majesty,0.09990889966077508,0.11260427948162581,-0.07454637756159038,0.28765779613546993
Moxie,0.09272313535369973,0.19406439833555086,-0.2381816500246459,0.4144178000389359
Swarm,0.09152362263063826,0.2195093485456501,-0.26568649667435434,0.4370187048748063
Trace,0.08631238939171473,0.11447634709229917,-0.09924969060316916,0.2783850275419154
Water Bubble,0.083250841375436,0.15746143775321958,-0.16210465977777413,0.36040994391782794
Flower Veil,0.07494563140683622,0.05803773542771043,-0.01711161784070252,0.16771314636796494
Stance Change,0.06951867037529363,0.1469427942947401,-0.1775727752759652,0.31491128045420697
Anger Point,0.06786493531723088,0.22018664196862672,-0.28189990322939157,0.43183893925754036
Adaptability,0.06755033278127856,0.05382734390734816,-0.021247190858139347,0.15511663848624835
Sharpness,0.0662829738062695,0.0969166652597183,-0.08880335658746924,0.22255633391221794
Solid Rock,0.06614688042845679,0.1452959256192743,-0.16895619244524482,0.31455146319631977
Gale Wings,0.06284484826303155,0.08595697800758868,-0.07521380890820166,0.20878899038544182
Cloud Nine,0.06087310516177559,0.13930939616313645,-0.15641431073784287,0.2896904721604024
Static,0.05896478173122926,0.1316806201403953,-0.14901365924186843,0.27765646717009407
Curious Medicine,0.057017017449815716,0.21816204913107315,-0.28279865957343275,0.4241636285928952
Purifying Salt,0.05554937885935253,0.22548650240152307,-0.29413727920322397,0.43233532593058144
Toxic Debris,0.05280232105297919,0.10871036403018423,-0.13070257189217463,0.2388209379108428
Thick Fat,0.05124499691146531,0.12856727520030414,-0.16717822066346322,0.26996854097183764
Electric Surge,0.05055223425964886,0.21887899347979992,-0.29692088888993057,0.3924280993400295
Skill Link,0.04644259013300986,0.21884122191979216,-0.31452634113937866,0.40479348925921194
