,mean,q5,q95,robust
Moody,0.14100414960227925,-0.008685519028264794,0.30924423270207624,False
Unnerve,0.1385937804241281,0.02502527510402454,0.2575257626432857,True
Scrappy,0.13840305924638968,-0.010635985168664772,0.3001527148256462,False
Competitive,0.12250062132465821,-0.013778196426987592,0.2694310377926556,False
Sand Rush,0.10777333390146854,-0.027957209730048196,0.25419303158300105,False
Stamina,0.10296631334617973,-0.03152833755505919,0.2474480614423999,False
Flame Body,0.09848920261539736,-0.05652386995774123,0.2828662360994382,False
Poison Touch,0.09805498957198204,-0.02014381080863107,0.22845339561667022,False
Friend Guard,0.09667580518419876,-0.04021512659080029,0.23867627088662852,False
Telepathy,0.09338543947976166,-0.06147771637894657,0.2643887698265314,False
Overcoat,0.08624336066390892,-0.07280069886078158,0.271242284288468,False
Snow Warning,0.08141070639582226,-0.05056651541407989,0.22132813048226613,False
Huge Power,0.07699826571790591,-0.0762723899934931,0.2587243240386328,False
Trace,0.0711009942981567,-0.07192471826365118,0.22899419275810393,False
Queenly Majesty,0.0682228583326361,-0.08025240310553874,0.22698424186541866,False
Limber,0.06541129976402639,-0.09044672797063501,0.2391844879836072,False
Flower Veil,0.06156406575774395,-0.06791324803619155,0.19457529495595208,False
Regenerator,0.06101222042905577,-0.07820409758826774,0.21300531478972315,False
Unburden,0.06088648595319832,-0.055977700410964684,0.18452117392518208,False
Symbiosis,0.056122172496691984,-0.11152224814080479,0.24358500281863868,False
Drought,0.05367759695913804,-0.059167675428572125,0.1716494672778554,False
Aroma Veil,0.05114914158088548,-0.10408545099774862,0.22909704152852417,False
Thick Fat,0.049549380474707645,-0.10003835994850319,0.20093200605294495,False
Intimidate,0.04548085817580128,-0.03466988373966621,0.1255083522922559,False
Water Bubble,0.045318064690194164,-0.11367250394707631,0.20730871776406415,False
Rain Dish,0.043808559929656495,-0.09441657576249776,0.18905908156639492,False
Swarm,0.041568346923008266,-0.13543565327632429,0.23374756729441426,False
Defiant,0.03912981897111325,-0.07017251190075771,0.14934968922250974,False
Toxic Debris,0.038017169311840335,-0.11906676309780767,0.19302695852897364,False
Tough Claws,0.03683979602565243,-0.0871502519125918,0.16664465988629357,False
Solid Rock,0.03613835748328736,-0.11587021048293794,0.1958863585896756,False
Good as Gold,0.03143077093465892,-0.11093838434910074,0.1719570957665004,False
Rough Skin,0.030121153123501533,-0.08541306221739023,0.1496611914258666,False
Adaptability,0.02985050099029193,-0.07741973723905633,0.14306088311409804,False
Moxie,0.029499390333060857,-0.1299117079380837,0.1958051765815495,False
Anger Point,0.028534213127672237,-0.1418708869182647,0.20423721813275028,False
Cloud Nine,0.0273323674973052,-0.12255331781508871,0.17903781387698042,False
Armor Tail,0.027156837626979104,-0.09536467482475408,0.1538749898320669,False
Sand Stream,0.02675836259260627,-0.11047388115519621,0.1634411410475851,False
Stance Change,0.026668326394058594,-0.12930188645543866,0.18937658614345235,False
Flash Fire,0.026630325177191737,-0.09856940475621262,0.15739578187752132,False
Curious Medicine,0.024595240269066704,-0.15545508221844503,0.2108997323549359,False
Chlorophyll,0.024193241222551266,-0.09284260724629112,0.14152001643621298,False
Cud Chew,0.02280316103146121,-0.14724810846657327,0.1987057476089854,False
Fairy Aura,0.022191319284056644,-0.1244540559821738,0.17459586817396355,False
Sharpness,0.02204078308473543,-0.10531963256556243,0.15369181641609989,False
Skill Link,0.021655806719089687,-0.151277399075688,0.21061993719963706,False
Shell Armor,0.021613331723073302,-0.144542553383844,0.19718085442779018,False
Oblivious,0.020999481690641426,-0.12056125091048649,0.1686101482014852,False
Pure Power,0.018234025948576805,-0.15625631731254808,0.20381485404690294,False
Gooey,0.016353810523592104,-0.15530634317951367,0.19235626723141008,False
Heatproof,0.01584341740913239,-0.1506685457269419,0.1917802007553909,False
Leaf Guard,0.014451060356040402,-0.14357184878428952,0.17206298803225478,False
Drizzle,0.014427003960577375,-0.10935723909117515,0.1395432957747291,False
Fire Mane,0.012793949989513323,-0.15978644240275777,0.19585028111081249,False
Purifying Salt,0.012067085232480824,-0.16397265229475522,0.19466498926304973,False
Gale Wings,0.0113292270273103,-0.12788647001183595,0.15127100184572911,False
Damp,0.011243043852034668,-0.1046263458162074,0.13061425478279887,False
Vital Spirit,0.010074831563245885,-0.16070606337122306,0.18190150560636376,False
Shed Skin,0.009550471378209458,-0.15441878465260697,0.17797199856487678,False
Electric Surge,0.007887145176578087,-0.1638013813195774,0.18137881117898122,False
