,mean,sd,q5,q95
Venusaurite,0.3676481167503124,0.08288615031291376,0.23267769741954947,0.5038209322749917
Spell Tag,0.23418820467733029,0.12337610193092169,0.03210203879922084,0.43468954686380185
Floettite,0.20572612729288944,0.06033790429172811,0.10397396408814759,0.2989662317548068
Raichunite Y,0.19684751890798466,0.07009595967904958,0.08036484907052213,0.31398217716108223
Dragoninite,0.18739400523835087,0.09630738812590106,0.02240198755033793,0.34747570688571605
Crabominite,0.1692637298984206,0.1956984716256307,-0.14032221894519087,0.47780665518635307
Black Sludge,0.16305250135558524,0.22773548846991168,-0.21811444342593653,0.5326671266816917
Light Clay,0.15908316707476097,0.07613133758709348,0.03399595859126225,0.2855315858883963
Black Glasses,0.15481848991785538,0.05424854071549169,0.06570504999242317,0.23945725690714992
Lopunnite,0.15408642842677897,0.17555950441144977,-0.13743628726708526,0.4369485118931477
Passho Berry,0.14465523506580805,0.07499384463695828,0.026569832042962312,0.26872778090434696
Rocky Helmet,0.13611455644681916,0.24991215640641753,-0.26561157696855836,0.546940430782573
Drampanite,0.12633814823921116,0.17125012586375568,-0.14788739867959722,0.39826796359255784
Pyroarite,0.12289592859935466,0.09074034187986947,-0.01804864816992558,0.27128825858555355
Kangaskhanite,0.1150327795058638,0.1186206267674543,-0.07481435940345703,0.3063041081046921
Coba Berry,0.11405887071029738,0.08466648385852568,-0.026152942578724775,0.24904342725854992
Blazikenite,0.11365201409886769,0.0875162165929282,-0.026622310274633274,0.2581409350934536
Twisted Spoon,0.11364496183940923,0.2079671424283941,-0.23548442547918125,0.426421729301488
Gyaradosite,0.10763994686473496,0.1583950507411098,-0.14722825472204756,0.3648415662174319
Occa Berry,0.10743441308381207,0.07220940313920095,-0.008344892447026237,0.22913886754365526
Life Orb,0.10182409110526436,0.05151299811160285,0.01694287044919325,0.18377814709235282
Haban Berry,0.10022310475133768,0.15598667394373356,-0.14879740531800723,0.3601323285026865
No Item,0.09907445368587442,0.029571659559315497,0.05004230036308371,0.14790148108704151
Froslassite,0.09737496392683666,0.08021330710594403,-0.03757641608654558,0.2260549702418309
Metagrossite,0.09391841901924146,0.06587883224352573,-0.012680705131471457,0.201119941789501
Blastoisinite,0.09161735625779435,0.09619482867016696,-0.06577605557817935,0.24947483121767863
Tyranitarite,0.08663387120746215,0.08362889287608041,-0.04889932538798262,0.2251696235789336
Charizardite Y,0.07773194245969496,0.06623682609559883,-0.031355370194008914,0.18270860222510793
Falinksite,0.07530175674880096,0.21495400299168377,-0.2691577038925423,0.4270763095726839
Slowbronite,0.0728951208306191,0.2302280429186476,-0.3124759995369258,0.44163582668433166
Sablenite,0.0711617700762216,0.2329593663036422,-0.3013994550761337,0.45440426905607273
Gardevoirite,0.07038059365562747,0.10527137857958867,-0.09741126085102558,0.24126999220572248
meganiumite,0.06935944044939663,0.23297893651143006,-0.30841011434376814,0.4454767066032252
Lucarionite,0.0667319507800028,0.1894218482231225,-0.2467247374454593,0.39239940261349837
Sharp Beak,0.06601319762749279,0.11073858274733317,-0.12165662492399879,0.23844909613141077
Sharpedonite,0.0656199153441096,0.24653364050983045,-0.3283454329730232,0.49466650212205665
Steelixite,0.06479861781145829,0.216941129358024,-0.28583160675248065,0.4230037503123641
Miracle Seed,0.06403829342698057,0.18302460386293307,-0.2486173049477223,0.35095496153787964
Mega Mawile,0.05449063722583638,0.25522778843326605,-0.3442233068401468,0.48105799551945844
Scraftite,0.053426078540145985,0.24578107591279955,-0.3594233450973492,0.45454930002118266
Glimmoranite,0.05152161602051615,0.15908486540805006,-0.21595106990732962,0.3096503530974677
Pinsirite,0.05021314331942742,0.24274877275443854,-0.32657563045410426,0.446981968799922
Safety Goggles,0.04844115981676087,0.25662519061637,-0.3825595567149891,0.46485802375733554
Toxic Orb,0.047957395537783,0.2437878806824987,-0.3463132907976313,0.43073259847698886
Hard Stone,0.047695753292769184,0.21956353063308512,-0.29119131044108565,0.3995025218145158
Cameruptite,0.04688630357569838,0.15805774029878905,-0.20349512495325364,0.2943249681935165
Fairy Feather,0.04685417979444075,0.06870553119954871,-0.06918459414647746,0.15340091721545138
Medichamite,0.04676133451453974,0.24106159793379034,-0.3408960418314583,0.4483987467624202
Garchompite,0.043219571318165596,0.16494694236670648,-0.2274507853632563,0.31674627932191807
scraftinite,0.041822372080072744,0.24865420339644656,-0.3822450505659715,0.43894037983522194
Black Belt,0.04034172958833034,0.20721007900090485,-0.29868063469589196,0.36233037001238544
Colbur Berry,0.04034140353440419,0.05519108479975979,-0.0449285718660103,0.13366454914812004
Wacan Berry,0.03799284810950379,0.19258348041238593,-0.26367425019391033,0.34632284475849484
Banettite,0.037042911357212355,0.24487908879430687,-0.3720848659701608,0.4359177015704334
Abomasite,0.03634175246030646,0.1863122408203348,-0.2791725923682926,0.33047011714996155
Barbaracite,0.035324915807331304,0.17874726372962796,-0.24990779914708533,0.31486350700123483
Mega Staraptor,0.03426759482878078,0.2491910394947286,-0.3947432859249945,0.41340710000258274
Sitrus Berry,0.03372564083506122,0.03949992385240357,-0.028591744681183105,0.09871130685230765
Scovillainite,0.03266537603562328,0.09403628759070715,-0.11079350961795453,0.18134348538853565
