,mean,q5,q95,robust
Floettite,0.14346935645331058,-0.0036726699907937096,0.3112788496065302,False
Venusaurite,0.14331209192120184,0.018102716189766256,0.28220408285976095,True
Light Clay,0.11030903715807845,0.006726948159199944,0.2204894910197692,True
Spell Tag,0.1073536854178244,-0.03338488774761118,0.2655941074872088,False
Passho Berry,0.105398264485541,0.0003962191209172109,0.21160393154924273,True
Black Glasses,0.08266726738130281,-0.0022241281197373287,0.17038863114318692,False
Blastoisinite,0.0778640232138573,-0.06446210392179579,0.23840690766016354,False
Dragoninite,0.07355616310718444,-0.055279063481354924,0.21016362725535975,False
Raichunite Y,0.06595550921330239,-0.07085020633416436,0.20755004053885195,False
Gardevoirite,0.06447776252347881,-0.07740290035539432,0.2187097819271664,False
Charizardite Y,0.06329613345678015,-0.06142001911301645,0.19797744310176382,False
Crabominite,0.06258484071434108,-0.08915104075552066,0.23668509792980316,False
Tyranitarite,0.061430636214117484,-0.062177148863079165,0.20015443874368322,False
Froslassite,0.060470460330022666,-0.08085974901679087,0.21284542892126482,False
Coba Berry,0.05981426800556705,-0.040050956427344214,0.16357164419561973,False
No Item,0.05699667418659902,0.0013578646752873769,0.11481026765540604,True
Kangaskhanite,0.05673884100419986,-0.08684536974755709,0.2089208811214187,False
Blazikenite,0.05545532774059528,-0.07221268515540694,0.1978478787357913,False
Metagrossite,0.054568059496870554,-0.07427811387249003,0.1924061293211153,False
Pyroarite,0.054271910496831895,-0.0885817703574531,0.21165561836924357,False
Life Orb,0.05324380406221068,-0.007766475476759811,0.1166229325787073,False
Occa Berry,0.05133425407023864,-0.04218282090936873,0.14702837610648617,False
Black Sludge,0.050011621399395384,-0.11574366687935116,0.2308974164404109,False
Scovillainite,0.047457792571497986,-0.0967891038405997,0.1999043118173889,False
Lopunnite,0.039303466305096395,-0.11468129403558908,0.20207341990986702,False
Gyaradosite,0.03863597049243448,-0.11196169320002268,0.19757864223483781,False
Rocky Helmet,0.0373546082820917,-0.12570436214109232,0.2171934526940213,False
Drampanite,0.03629913464742727,-0.11569058373114723,0.1978441497184861,False
Twisted Spoon,0.034811331419198226,-0.11975352062626841,0.19686637220330477,False
Haban Berry,0.03413699881273322,-0.10931636657334116,0.18719090162889318,False
Colbur Berry,0.033896015782282254,-0.04871707096285775,0.11696855973533929,False
Focus Sash,0.024483266979595977,-0.03717761813313457,0.0870924942951242,False
Fairy Feather,0.022830190398933293,-0.0771527254781128,0.1255782768282718,False
Glimmoranite,0.022125223614902448,-0.12507916171850367,0.170818700032047,False
meganiumite,0.02197890943677698,-0.14341858193964288,0.1894564135918756,False
Cameruptite,0.021617671978531088,-0.1429202331631744,0.17719254755650435,False
Slowbronite,0.021531211311460484,-0.1409183441138909,0.1920482487107393,False
Scraftinite,0.020251354854201188,-0.11125294598482521,0.15410284149733547,False
Sharpedonite,0.019444415876153073,-0.14062965235853295,0.19101848808980057,False
Garchompite,0.01908888591344048,-0.12276624842243589,0.16359273922971754,False
Sablenite,0.017848051096404968,-0.144699897735862,0.19383752740156124,False
Abomasite,0.01677558030473933,-0.14400167667630748,0.17889025627490723,False
Scraftite,0.015618479725066253,-0.15934013911926143,0.18750796591699354,False
Sitrus Berry,0.015261203423251617,-0.04093231323296288,0.07020705593209767,False
Glalitite,0.014904740194380732,-0.15242290370433936,0.19348514622341387,False
Medichamite,0.014635997230139712,-0.15870691191280312,0.18814971454585833,False
Magnet,0.014319072562053305,-0.128664208221482,0.15865885674090927,False
Safety Goggles,0.013828766455109226,-0.15115093252494893,0.1868066260872595,False
Iron Ball,0.013757916802476799,-0.1286856301579974,0.16284339982492146,False
Scizorite,0.013708244669412496,-0.14202157712154131,0.1600548893951837,False
Toxic Orb,0.013212677151943186,-0.14848767809348604,0.194701826204085,False
Pinsirite,0.013119529371519525,-0.16162192162933825,0.18528507326478724,False
Altarianite,0.013018244982206863,-0.15029977821422028,0.1762570815827119,False
Falinksite,0.012559590973286143,-0.1463975507237363,0.17933832249543863,False
Choice Scarf,0.01237464259974339,-0.05527073947680417,0.0800502827520442,False
Charcoal,0.012349466741702085,-0.08967250107996338,0.11574799991295166,False
Heat Rock,0.01231469603025732,-0.13881837019377094,0.16624340607048685,False
eternal flower,0.010683651109660613,-0.15568433367005205,0.18203046487467392,False
Mega Mawile,0.010533001048337168,-0.15003388771221304,0.17539238037803295,False
Banettite,0.010112973528562443,-0.15804688377432544,0.18993004622813223,False
Mega Staraptor,0.009961857006571706,-0.15470917115393035,0.1785450413086837,False
