,mean,sd,q5,q95
Quick Guard,0.2508362784210598,0.09736039408253427,0.08253564968223394,0.40821306474384705
Perish Song,0.23663335108340788,0.06522275985768057,0.13046211311014605,0.3406680345071807
Psych Up,0.2319945653176992,0.1579299444910127,-0.018294484093522842,0.497357066471529
Gunk Shot,0.23055164228351213,0.11348139741264837,0.04110303064659652,0.41409500731136617
Snarl,0.22870923113826136,0.06904880590137849,0.11264370031928639,0.3382922377042117
Spirit Break,0.20624461675362082,0.07513299885083341,0.09012575368435581,0.3336482682926595
Encore,0.20239444606819398,0.051792207080123484,0.11966619170521732,0.2793789472878118
Weather Ball,0.2015329122740628,0.048812386761021245,0.12475504762840682,0.27894759372367955
Freeze-Dry,0.1770425938990634,0.0814464127532132,0.0357725275382202,0.30713823533964624
Electroweb,0.17183972430861288,0.09646830309085813,0.01791544017456553,0.3291568771838871
Draining Kiss,0.16672969054161108,0.07341329509449192,0.050297126185200644,0.29175463741673985
Quick Attack,0.15945190049468935,0.06733050222844206,0.05023503081966621,0.2691829354461022
Bulldoze,0.15576395772057036,0.1905747348567024,-0.15828158808586126,0.47203614000157357
Fiery Dance,0.15565568586833034,0.1649886112421676,-0.11743215982458954,0.418074583635955
Ice Shard,0.15512026862492045,0.09973176801276543,-0.010353432240137095,0.3164917283128236
body fang,0.15410307677567855,0.16211193907304605,-0.11711537180581177,0.445082680565614
Thunderbolt,0.15342196420053006,0.04844943768952815,0.07237726876164888,0.2309574454619828
Swords Dance,0.14907379212839458,0.05869202715443695,0.04851024836975559,0.24573741379328612
Bulk Up,0.14228612312946645,0.0740501416046968,0.020616346525912783,0.26359397783350236
Water Spout,0.1411662288662713,0.10523383006184593,-0.03902720084359027,0.307720708546953
Rain Dance,0.13813887651684506,0.08115207489123588,0.008594002022116434,0.2770965178107253
Charm,0.13807271211329775,0.08795466735601785,0.0010679547668527333,0.2825895231361679
Electro Shot,0.1360250139635374,0.09384824582261717,-0.02158410663545875,0.29219343794492825
Shell Smash,0.13585609498937243,0.11056660063925261,-0.04512239749877844,0.30759004828266007
Kowtow Cleave,0.1344622059628042,0.05758004470716475,0.03355099647409626,0.22843703576504976
Psychic Noise,0.134376348932656,0.12983674860586203,-0.08376994174983829,0.3440714088731815
Brave Bird,0.13389244690129387,0.05463371909304878,0.04610183140779687,0.22861071212345477
Detect,0.13093487135458612,0.05209000663943815,0.04240121798476806,0.21865474118313447
