,mean,q5,q95,robust
Encore,0.12147498405988123,0.052611714503402844,0.18976640563947914,True
Weather Ball,0.11542883989401105,0.043164534976042494,0.18915983967246916,True
Quick Guard,0.11207968419791876,0.012744137761694503,0.2200647798399969,True
Swords Dance,0.10715319166840058,0.031157159855294818,0.1845104047419686,True
Stomping Tantrum,0.10042295781580612,0.033421254271713705,0.166535881709257,True
Draining Kiss,0.08863037650845848,-0.0037831106201556748,0.18341578431156128,False
Snarl,0.0856258416612932,-0.008394753643221725,0.18385815769721306,False
Thunderbolt,0.081843398863289,0.016637643430659852,0.1503515206264821,True
Gunk Shot,0.08076709543933984,-0.024793464266656275,0.192572211803323,False
Rage Powder,0.08035108382879272,-0.017060552255836758,0.18058103000851083,False
Perish Song,0.07753668765485598,-0.021873029882456974,0.18544149833469364,False
Low Kick,0.07439201270629912,0.006193579018504637,0.14338718669533423,True
Kowtow Cleave,0.07346798793333656,-0.03025561548363432,0.17814813719676914,False
Spirit Break,0.07146594895792745,-0.01823161733718793,0.16661422449194155,False
Protect,0.07091094424069955,0.043074442777975785,0.0975800133398936,True
Detect,0.07027326071726178,-0.003918877774528542,0.14384440955016695,False
Hyper Beam,0.06514676844663651,-0.021215706725739008,0.15251634142762482,False
Quick Attack,0.06477951171790139,-0.03162595773553081,0.161020839713586,False
Wide Guard,0.06296433256785981,-0.0007025969517019475,0.12728102467933028,False
Electro Shot,0.06238108837393521,-0.05046723797077808,0.17923575049808405,False
Coil,0.06234470805579306,-0.0512581381199912,0.18239265983113714,False
Heat Wave,0.061721803110753884,-0.009087871005759602,0.1322015990832213,False
Shell Smash,0.06024307171800542,-0.05073086463984909,0.17439743546267855,False
Parting Shot,0.05912476974180393,-0.01890568525274055,0.1375261267528716,False
Flare Blitz,0.05750221444871759,-0.01766806627102821,0.13252736907377868,False
Reflect,0.05688982650663973,-0.03859118013820776,0.15743167958692408,False
Bulk Up,0.055914859011987464,-0.04224110384949723,0.158912442174734,False
Water Spout,0.05471852965227246,-0.05799874444240713,0.1728809901382907,False
Aqua Jet,0.0537862449481501,-0.04190668871248073,0.15403144389776333,False
Psych Up,0.05302515797268861,-0.0653394359121806,0.17448972406555818,False
Rain Dance,0.05159038078145189,-0.03226992372096428,0.13529487148469138,False
Freeze-Dry,0.05158032397673248,-0.05181214710658374,0.1597748203702559,False
Will-O-Wisp,0.0514384215949118,-0.022409373497959666,0.12301456234028314,False
Fake Out,0.05099390598544268,-0.010430512348187697,0.11286407949480869,False
Dragon Dance,0.048321631131805584,-0.05428019309547928,0.152240182032908,False
Electroweb,0.04734545107398359,-0.056492320728655,0.15667401226288336,False
Coaching,0.046421440366697764,-0.04727692046333316,0.13854793436635315,False
Brave Bird,0.04634732091939691,-0.042049085545168376,0.13713212288765494,False
Flash Cannon,0.04621184852153027,-0.045155566126478676,0.14237726877153506,False
Shadow Sneak,0.0447611052324882,-0.05826274240060069,0.15128799413735092,False
Hypnosis,0.044659962366623215,-0.06667921864237643,0.16001685345641484,False
Overheat,0.04407011496734868,-0.040450441642578626,0.12565584211144593,False
Ice Shard,0.04211652406973984,-0.071108804161017,0.16029653923445342,False
Nasty Plot,0.042035758589254464,-0.04418640596214137,0.1294344776896319,False
Dark Pulse,0.04168227072694981,-0.05675865483603263,0.1375966519233189,False
Eruption,0.04161552271126558,-0.056247721470013064,0.14080019542738223,False
Feint,0.040583904777414,-0.0648336882299758,0.14797382671931378,False
Knock Off,0.04042534283863214,-0.046859903126407115,0.1291015089543086,False
Roar,0.039052497921549495,-0.060714968990715976,0.1405116941253667,False
Charm,0.038996999400895606,-0.06372868114990368,0.13807255577798083,False
Bitter Blade,0.038614232434083386,-0.07407409222560557,0.15627576554146697,False
Fiery Dance,0.03667419475443881,-0.08623351871010049,0.16189224843002928,False
Super Fang,0.036346657800156994,-0.07229562449180056,0.1479282937877681,False
Sucker Punch,0.03593949275580118,-0.04872568907665741,0.12065814495741595,False
Psychic Noise,0.03363349548914188,-0.08098468779919035,0.1471296721343158,False
Belly Drum,0.032913601235176865,-0.08216643295171697,0.15330550529326512,False
Bulldoze,0.032458615001299866,-0.09009351949888765,0.15623360083161,False
Helping Hand,0.03218350947639506,-0.029393432841592092,0.09065053574712241,False
Icicle Crash,0.0318797871758935,-0.08518681448755117,0.1480238570997572,False
Power Whip,0.031185276324908858,-0.08429868769417281,0.14845301168699312,False
Make It Rain,0.030302955689098864,-0.0853135468385648,0.14357011818785984,False
Power Gem,0.030295964533224754,-0.07017003454493383,0.1321984547964604,False
Ice Hammer,0.02962514091443362,-0.09354093646161124,0.1552805765424463,False
Double-Edge,0.029462988399100956,-0.08395493733899366,0.14257860092930336,False
Wave Crash,0.028775602909469324,-0.05672684641792189,0.11783335065091564,False
Bite,0.028215853037351565,-0.08799760343236189,0.1521910542985754,False
Zap Cannon,0.02814743518976006,-0.08380724764223751,0.14470720480422436,False
Spiky Shield,0.028032220301208825,-0.08901656594663418,0.14330134172729433,False
Aura Sphere,0.02801857224815418,-0.060526401978841425,0.12007471493556947,False
Round,0.02750522185208952,-0.07635750649529238,0.13457310957354127,False
Psychic Fangs,0.027046741034942503,-0.057868805967849185,0.11535227498357341,False
Earth Power,0.02695111940993064,-0.044080745825813054,0.09860496418054894,False
Psyshock,0.02652779191580878,-0.06638521651598764,0.11959360886099497,False
Close Combat,0.025783165080063425,-0.04287894542306868,0.09749333346755437,False
Calm Mind,0.025439432523575042,-0.05853598590408349,0.11177328516091545,False
Sunny Day,0.025299498180373615,-0.057517995398157794,0.10641505001043002,False
Fissure,0.025034634937012728,-0.10011743349260786,0.1489948694041214,False
Body Slam,0.024903337825245692,-0.09740496361663356,0.14575262268363426,False
Throat Chop,0.024705072522734812,-0.04658525609506344,0.10090702442927585,False
Foul Play,0.024348751272504895,-0.058327174840884635,0.11271163695309433,False
Armor Cannon,0.02390062679934335,-0.09939274608685576,0.14602242956570513,False
Leech Life,0.0237580923582325,-0.0982243656400621,0.14466077921156956,False
Pain Split,0.023730218900098785,-0.0964744903466135,0.1476396370777097,False
Upper Hand,0.02338648322078245,-0.09419040573480385,0.1458072142995282,False
Leaf Storm,0.02334565998788591,-0.0713169639093399,0.11467426663695113,False
Mortal Spin,0.02289174722053329,-0.10371697145079874,0.1516587782930622,False
Dragon Claw,0.022730241938752095,-0.06412269377053684,0.11236827970952593,False
Hammer Arm,0.022566163659823352,-0.08634491467167385,0.12790489500160387,False
Stockpile,0.02142827004286751,-0.10182818084996635,0.1472273201753301,False
Fling,0.021335817000409162,-0.1011959594681573,0.14308542938420196,False
Yawn,0.020734408817326893,-0.07338259076881573,0.11494515561337669,False
Frost Breath,0.02056450392227863,-0.1028969549179725,0.14733362288575477,False
Quiver Dance,0.020496656786325347,-0.10225092376524023,0.1449213846652951,False
Drill Run,0.01983354945322263,-0.10839019154352575,0.14413374155603426,False
Poison Jab,0.019429854628913404,-0.05760733702689503,0.09616283413319196,False
After You,0.01866588257454198,-0.0979964274762335,0.13334703271113116,False
High Jump Kick,0.017804068758958874,-0.10200181012305863,0.13867775771324736,False
Substitute,0.016587468590518892,-0.0908025937974202,0.1265609758713177,False
Hyper Voice,0.016415445536021672,-0.05981864253708951,0.09741981074755038,False
Grass Knot,0.01632769802149333,-0.07115644085678091,0.10194792529146333,False
Ancient Power,0.01625693509248161,-0.0934990794110862,0.12868920816071844,False
Chilling Water,0.015765943563594252,-0.10974681028856233,0.14349425670976457,False
Crabhammer,0.015647084859266868,-0.11588833658804651,0.14434166141168148,False
Cross Poison,0.015600093035969867,-0.11129948982909645,0.14008115176046615,False
Breaking Swipe,0.015472661657434437,-0.1002075751450367,0.1327611323114278,False
Hard Press,0.015320459276150285,-0.1136013007348282,0.14345041584756857,False
Bug Bite,0.014676555110516189,-0.09624097667766227,0.13362798450897448,False
Struggle Bug,0.014529728522629124,-0.10852198214731348,0.13939484136543984,False
Water Pulse,0.014128076088358595,-0.10853183654565515,0.14144092767563216,False
Final Gambit,0.013867535856536408,-0.09247270124793658,0.12382995256946829,False
