,mean,sd,q5,q95
Calm,0.18362796122626698,0.044071342376268204,0.11088899582846418,0.2557318738787316
Bold,0.1010819435328001,0.032585548025374,0.0471847294220047,0.15275689453378738
Modest,0.08971182500436643,0.024934116142114313,0.04798873821915602,0.13223336546738948
Adamant,0.06140698231993812,0.024836399937022694,0.01833181313591757,0.10206179899125913
Mild,0.04713867269724124,0.1220275105949405,-0.14944528401433504,0.2499368943910796
Jolly,0.03336536879479996,0.026037072222770522,-0.008881607731912128,0.07485065604563844
Impish,0.028751108722251315,0.04737921652105281,-0.04641582511461061,0.10616405939553122
Naive,0.010884254094171588,0.10988466424683714,-0.17885934961337754,0.18380469576170383
Lax,0.01011694907299075,0.12694837701109912,-0.19649377211235702,0.21415288400399965
Timid,0.006332885270465578,0.08341612033773678,-0.13418181384529226,0.14020134228917236
Brave,0.005254130885628028,0.04553182075037246,-0.06854001564102506,0.08085892460240839
Careful,-0.008062757505411633,0.042485309886757715,-0.0799361436823291,0.05864637291486586
Quiet,-0.013618200652861229,0.03838032947930306,-0.07513144434163316,0.05117910044485316
Relaxed,-0.018428092169809496,0.047202518553333045,-0.09668515007381176,0.05783483161557967
Quirky,-0.021548398466781516,0.13755785700403736,-0.24641537979352934,0.19545305361412008
Hardy,-0.032999756971544295,0.026477270443131667,-0.0735548807007988,0.012825060048746926
Gentle,-0.034330968953575965,0.1261863093181558,-0.24105468144457318,0.1668367264617332
Lonely,-0.044717051968789265,0.1217253002832687,-0.24651827039969137,0.16081553744618005
Sassy,-0.04603283619279412,0.054331869813855266,-0.13654195256019572,0.043290138998243285
Rash,-0.05604669503651101,0.129728202807446,-0.2725354089125277,0.15800117821139054
Hasty,-0.08672162343789566,0.1043364448942003,-0.2610601731500722,0.08692725440732553
Serious,-0.09395818278855694,0.06565821553395348,-0.20063047118196886,0.01431554280940516
Naughty,-0.12120751747638898,0.12320696474972107,-0.3216456455107697,0.08296753965432975
