,mean,q5,q95,robust
Calm,0.0907810124453921,0.027154785228515495,0.16039517411979903,True
Modest,0.06387978642659752,0.022652035304052014,0.110069317402657,True
Bold,0.055249283738994535,0.0060320426832751305,0.10877156874747466,True
Adamant,0.030208903229511943,-0.010127223972462634,0.07204119822219303,False
Jolly,0.017236197445108528,-0.024720209661509205,0.06201670330682677,False
Brave,0.010903685030943229,-0.0455989479974969,0.07055521172989764,False
Timid,0.006179090489550786,-0.034137663934539826,0.05307738244992909,False
Impish,0.0025942174994133876,-0.05188550954469826,0.06022228973050379,False
Naive,0.002142240777044291,-0.07911327780311693,0.08914981543951889,False
Mild,0.0006653455313960976,-0.09308620754619928,0.09157338533120404,False
Lax,-0.0013155280352167439,-0.10053704624825452,0.09312874717773592,False
Careful,-0.0041293247295864635,-0.05403222894503039,0.04828962705787403,False
Quirky,-0.004779238593068166,-0.10314970706734512,0.088835603623219,False
Relaxed,-0.00503491023940253,-0.057826081631353166,0.05285631759666541,False
Gentle,-0.013304384185688469,-0.11612111286957964,0.07879297398301709,False
Rash,-0.01479858871023903,-0.11400298140456541,0.07867433702273001,False
Hardy,-0.017777437183073657,-0.06671990059514969,0.03121321391396555,False
Quiet,-0.02033575691979496,-0.07371958694017126,0.034968580815101805,False
Lonely,-0.02224479202361759,-0.12201772951354528,0.06579853906325712,False
Sassy,-0.02826542458495071,-0.09062724858010528,0.03199289477667986,False
Naughty,-0.046999921354455285,-0.1746296330141724,0.04276120758579853,False
Serious,-0.04948832005148836,-0.1212541489066391,0.013259868162336845,False
Hasty,-0.051366136003370456,-0.16608935168451064,0.032582656199670455,False
