,mean,sd,q5,q95
Armarouge,0.25512995167399427,0.17327528303624715,-0.006912395609973715,0.5357570938014218
Gallade,0.21619965499586133,0.12481539314215999,0.012676552606221532,0.42036694815672265
Charizard,0.20215666502111707,0.060453725685702585,0.10294850998349257,0.2935643272975801
Gardevoir,0.19940338403751867,0.09932039735994239,0.042714579566455066,0.3621664306682978
Froslass,0.19937666812748794,0.07561650206570689,0.08099480036026065,0.3270341522101496
Wash Rotom,0.17429645052112455,0.0763920609751057,0.05071891423843855,0.2965721885061574
Toxapex,0.17415744140392994,0.10484718860125973,0.0054341224337934434,0.3534371161343163
Klefki,0.17343696111160256,0.1869255421887545,-0.1275419341166177,0.47470707262736794
Crabominable,0.16872302426141636,0.18251553172926047,-0.1429490448315971,0.47387232166474785
Snorlax,0.16224054394208906,0.14761630563365355,-0.07677289125425736,0.4084241071678343
Eternal Flower Floette,0.1616158526178245,0.0595789390939724,0.060154717083009214,0.25112036334958554
Excadrill,0.15992087445195804,0.10079450374290351,0.0018465112855100296,0.3298420293643382
Kangaskhan,0.158077997302407,0.09272231494831162,0.01489076533254595,0.3071142348340858
Whimsicott,0.15750340980799094,0.06312255567988473,0.05645805105955649,0.25968413141979524
Lopunny,0.15473717080271374,0.16989353214199374,-0.12353364890789797,0.4300323707902971
Archaludon,0.1544787970687973,0.09496721992839066,-0.010806956043387028,0.31488739085266837
Milotic,0.1492501002051656,0.08162196973186474,0.017844790619214717,0.282088450818402
Hydreigon,0.1466664439282064,0.06873739978671017,0.03195052897747256,0.256799424205368
Scovillain,0.13265032593538068,0.08963171588223193,-0.026261479881866126,0.2820323038062059
Volcarona,0.12861025181907768,0.1533495849586156,-0.12002044690485734,0.3965565144521611
Gyarados,0.12358516923558,0.12053456915977875,-0.07380039484359262,0.31395081652803414
Floette,0.12293831137691999,0.10305258456774068,-0.042260044601729344,0.28485282329038614
Pyroar,0.12202686697627373,0.09113267057692012,-0.03065556808755869,0.2668439497287129
Tsareena,0.11386782091854368,0.11192233262318196,-0.07267403836643427,0.2929248987355014
Metagross,0.10947053833415459,0.06371911280255084,0.00969808738755252,0.2167525171635976
Hawlucha,0.10212163308812343,0.1780736394108839,-0.18729451313541165,0.39831202332296556
Lycanroc Dusk,0.09952808357246329,0.10613638396773989,-0.08484177277488726,0.2765955960390893
Blastoise,0.09726567167936828,0.0951325585393356,-0.05632629226502503,0.2523233272003466
Basculegion,0.0960127145403092,0.052868579847627314,0.013481261915744941,0.17974006953576044
Spiritomb,0.08417123600811965,0.22917438055595887,-0.2647037501680353,0.46883333164314933
Swampert,0.08331123752968443,0.0937315460387479,-0.0691509453228151,0.23637554720725698
Galarian Slowbro,0.08100192722998799,0.22520199228557913,-0.291333077972676,0.43784039844692985
Wyrdeer,0.08062586423176356,0.1772513288387105,-0.20907161236425917,0.3759925736735305
Primarina,0.07868170911544622,0.10728917892247758,-0.09720638643154847,0.25209680800531503
Pelipper,0.07465159021690003,0.09323020559850385,-0.07384357264761014,0.23069224924943704
Houndstone,0.07262622399601044,0.1502165987688181,-0.1776959794970658,0.3094017722443219
Mawile,0.07249430312938396,0.06762816248618773,-0.03885670952522606,0.18064005717808737
Vanilluxe,0.07107256288582724,0.1676288627432991,-0.19318204499969324,0.3520436799843435
Araquanid,0.06719210703607201,0.1610427466466513,-0.20144404551012687,0.3131368837155673
Sharpedo,0.0623523779283286,0.23306298206086698,-0.3129949555088822,0.43195805205634885
Blaziken,0.06116203079142883,0.08342563758766904,-0.07816133697368916,0.19530992705931505
Scrafty,0.06004111327107687,0.08340226175156434,-0.07424194601632626,0.19677367964427644
Garganacl,0.058844197904112716,0.23611721156680945,-0.33375936405064643,0.47292893420252613
Kingambit,0.05726800555685291,0.054291659968518674,-0.031208764175376727,0.14564139200429876
Azumarill,0.055325963507748994,0.1437457959063678,-0.17965531046476882,0.2936470392236775
Qwilfish,0.05424509022361248,0.22060552910279077,-0.30320782088432807,0.41809923296488666
Venusaur,0.049565478900343456,0.05876638860017935,-0.0444183620943274,0.1477034250116155
Abomasnow,0.04953635939417949,0.18164088848078022,-0.23230279442361643,0.33964703671652996
Vileplume,0.04930196582436723,0.1091340512386569,-0.12163616728637665,0.23187355245059063
Kommo-o,0.04859831842532609,0.1249349237736112,-0.1546865573257929,0.2622054061428058
Starmie,0.04807304399511274,0.16143948531939376,-0.21472061982910048,0.3091635536610161
Rampardos,0.04799118325770644,0.22608298242732844,-0.3082312611860531,0.42132228185710724
Ceruledge,0.04522907608758515,0.10036276422337248,-0.12120215642352208,0.20465711080461696
Empoleon,0.04377543886110425,0.17843416612262644,-0.248681609140079,0.32424509494484066
