,mean,q5,q95,robust
Kangaskhan,0.10734080330667614,-0.026340509505086852,0.2655263103969126,False
Archaludon,0.10225147247844309,-0.023851889863743477,0.24842080351455806,False
Eternal Flower Floette,0.09985519454439672,-0.01917584506857356,0.2324357267140807,False
Charizard,0.09619269930529238,-0.016644218263636455,0.2175680585996934,False
Froslass,0.09370121292745544,-0.032370703922623846,0.2383295154475326,False
Whimsicott,0.08548284555196861,-0.014999380698704753,0.19116557061252248,False
Gardevoir,0.08336259969936849,-0.043010579853907896,0.2349036164898635,False
Hydreigon,0.07615950444144111,-0.04345721457065577,0.20537958037648582,False
Milotic,0.07517930393890315,-0.05722967203129912,0.22003959346342014,False
Armarouge,0.0746108351725965,-0.07346293803557145,0.24686699541625537,False
Wash Rotom,0.07197190632616932,-0.04990457135578171,0.19823165476087803,False
Excadrill,0.07008285264566544,-0.06144104993343097,0.21916856179276556,False
Blastoise,0.06633950746581889,-0.0729801435807563,0.22781438584568417,False
Toxapex,0.06524097271174101,-0.07400968447177152,0.21977578770508147,False
Tsareena,0.06418663279495801,-0.07068461261844602,0.21533372279949417,False
Basculegion,0.061841752118061484,-0.04590105974476209,0.1810006425638493,False
Crabominable,0.05922738022632061,-0.08632287999540918,0.22419089852910407,False
Kingambit,0.05851903143104397,-0.05043041872380455,0.1718579355297043,False
Gallade,0.058463899180774444,-0.07243372044465825,0.20132782504793414,False
Scovillain,0.05710337226398938,-0.06678996078046037,0.1993612142864396,False
Klefki,0.0540892018848699,-0.09569079059017056,0.22309519447198786,False
Pelipper,0.05314893502498668,-0.06347576911968343,0.17430336887524103,False
Volcarona,0.052801140200109044,-0.0921639972265254,0.21090167645978516,False
Blaziken,0.052309983181419856,-0.07977367255921694,0.19808731005337812,False
Swampert,0.05184787996559837,-0.07377532889232802,0.1862075144292938,False
Metagross,0.0499109467324768,-0.07088730016427128,0.18750987097878258,False
Snorlax,0.049467318521421735,-0.0926630159604378,0.20706976050401663,False
Pyroar,0.048933048755729604,-0.0843106236050869,0.19294472872533044,False
Gyarados,0.045745020691046745,-0.08620879486331604,0.18799721060706312,False
Ceruledge,0.044814694047090195,-0.09016550252425154,0.19661478235990681,False
Lycanroc Dusk,0.04423285753668962,-0.09054816234929863,0.19056698601593566,False
Lopunny,0.03888956305572517,-0.10154674408276906,0.20045973012331328,False
Incineroar,0.038686283316490426,-0.06420276426909022,0.1472061722199793,False
Gholdengo,0.03465053258091242,-0.08914739194508442,0.16919467295426877,False
Houndstone,0.03423076644757095,-0.10967991587004769,0.18968244690368763,False
Azumarill,0.034001888338971345,-0.10922596344364964,0.18949385069023664,False
Scrafty,0.0319300481402655,-0.09366444656548475,0.16805656712444597,False
Mamoswine,0.03146569508725153,-0.09797154892560814,0.17214582189210814,False
Mawile,0.030030433859139494,-0.09981501165428644,0.16873800818612364,False
Vanilluxe,0.029049354380057943,-0.11231425043967669,0.18677059312074973,False
Farigiraf,0.02837363557038847,-0.08640682567454334,0.14741693062129896,False
Floette,0.028308128785248465,-0.09701392317374453,0.1634581535390337,False
Glimmora,0.02792127290054848,-0.10191151906300812,0.16844203818146003,False
Araquanid,0.027673333221213264,-0.11674295300849784,0.18077332472521845,False
Venusaur,0.026812050184475297,-0.08743972029277576,0.14340200154363042,False
Pikachu,0.023246213916368032,-0.12952334592765735,0.18445497352337129,False
Galarian Slowbro,0.022545184168058428,-0.14247448347134123,0.19106292982262427,False
Beedrill,0.022228428922697274,-0.12834016398054252,0.18422241551898413,False
Tyranitar,0.02111331995223857,-0.10717261299535538,0.15811324025665618,False
Altaria,0.019891194765180687,-0.13224183858383418,0.1736741585189748,False
Empoleon,0.01927958018649827,-0.1267093533685089,0.17498149665601587,False
Vileplume,0.018721936367338435,-0.11629787725879956,0.15565395744751775,False
Glalie,0.018249503439459743,-0.13739933763015338,0.18581735510082087,False
Spiritomb,0.01772599039583587,-0.13743285412009384,0.17878699148450866,False
Ariados,0.01691923469737914,-0.1332351715566949,0.1770248851335953,False
Sharpedo,0.016707664862394504,-0.1377982056410955,0.177236752470039,False
Hisuian Typhlosion,0.0155097259776455,-0.12479024741888912,0.1563639820106713,False
Kommo-o,0.01423120469131754,-0.12490256345603853,0.1608131956759623,False
Scizor,0.013107792350574982,-0.12773361071339848,0.15649688921432117,False
Pinsir,0.012893271210987031,-0.144613571583713,0.17288828670828293,False
Hisuian Goodra,0.012659738910729188,-0.1481302572094663,0.18029615193062823,False
Toucannon,0.012645594875963595,-0.14481248187442744,0.1753795003609858,False
Camerupt,0.01260456710158534,-0.13239086086679958,0.16088944240257905,False
Abomasnow,0.012338395387810883,-0.13575109165329316,0.1618219564457431,False
Qwilfish,0.012239061586399598,-0.14249736606544902,0.17096238595765195,False
Hawlucha,0.012233969730038319,-0.13282097133200188,0.16213944693742585,False
Weavile,0.011909051507140571,-0.12795309874060024,0.16012959566033172,False
Krookodile,0.011195004263510016,-0.15269034884574098,0.17823652284627903,False
Skeledirge,0.009521226412891059,-0.14584448396423672,0.16804035290816377,False
Audino,0.009430586250263072,-0.1437645804667656,0.1632157027048766,False
Rampardos,0.00928900372980452,-0.15042911278328217,0.17347355406806125,False
Delphox,0.009191554532516901,-0.1140207494490254,0.13658033635814146,False
Drampa,0.008996532846397707,-0.1315851334497659,0.16031072596037824,False
Aromatisse,0.008937158336019227,-0.15017650448494813,0.16943721435124912,False
Aegislash,0.008863429564413924,-0.13541760660924523,0.15461275494503518,False
Medicham,0.008483637479312101,-0.14786433659525916,0.16517395004190238,False
Appletun,0.008422308729862816,-0.1474581031829587,0.16858190111109736,False
Simisear,0.007825716497471031,-0.1522633877548324,0.1720059758971083,False
Banette,0.007654636847939763,-0.15070378217322217,0.1777534865227677,False
Staraptor,0.007650840189726287,-0.10911393307523287,0.12679102497326872,False
Garganacl,0.0066709697483828935,-0.14663936539098119,0.16399411248466003,False
Garchomp,0.006291451250177107,-0.10484532550212468,0.11686415837029444,False
Galarian Slowking,0.006278626938194571,-0.14733759580966377,0.16399559388496324,False
Alcremie,0.00529625927225894,-0.15316483011411186,0.16367733209498558,False
Hisuian Decidueye,0.00475503315107824,-0.14652012913134868,0.16441999132489196,False
Corviknight,0.004708857973421941,-0.12518213510814274,0.13790720310965954,False
Chesnaught,0.0037912606338379794,-0.15026669225141295,0.16251605134891015,False
Primarina,0.0027628726858634463,-0.12732920925091315,0.1279001238261916,False
Pidgeot,0.002005202522640894,-0.15635036488389847,0.1645560109157074,False
Hydrapple,0.0018933824040329322,-0.14781859593033528,0.15836815330241893,False
Roserade,0.0016722409186339096,-0.15963534677912647,0.16649860913167805,False
Samurott,0.001354171946870127,-0.16932486488303158,0.16619491915071083,False
Grimmsnarl,0.0008201434675657129,-0.11128332760072701,0.11880662880691267,False
Espeon,0.0008015329242804658,-0.16808160515407547,0.17346925814375277,False
Starmie,0.0006510515811176473,-0.14417003765037914,0.1484891273283612,False
Garbodor,0.0006433057829598754,-0.16142200965577694,0.1555598084814634,False
Liepard,0.0006047673149508877,-0.15758669592418353,0.15515726812213268,False
Falinks,0.00029484567378729274,-0.15116508116826652,0.15421280871959897,False
Noivern,-0.000699774793821639,-0.16128977631063413,0.15739047351695012,False
Wyrdeer,-0.0011215744027611998,-0.15405055981269006,0.15003679387779179,False
Mow Rotom,-0.0014834377363590117,-0.15374534760201905,0.14528845054244985,False
Stunfisk,-0.002166354443130212,-0.1643485600719339,0.15945253857918196,False
Barbaracle,-0.002190860152478371,-0.15202869208304112,0.1460124570081667,False
Orthworm,-0.0027413098225736233,-0.1628947688849418,0.15366406596775128,False
Paldean Tauros Blaze Breed,-0.0029107056242523915,-0.17278360603495735,0.15824490060681184,False
Sneasler,-0.0031789448140286235,-0.11237654922044428,0.10336764976010529,False
Dragonite,-0.003290055166005573,-0.1267323781626307,0.11628372174248475,False
Gigantamax Grimmsnarl,-0.0033200755532769234,-0.16994425656540552,0.15732667663269023,False
Pangoro,-0.0037527456749767603,-0.15859995441662664,0.15719930353959033,False
Lucario,-0.0045280981848833555,-0.1528745111122107,0.14578583928913647,False
Meganium,-0.004686647557987178,-0.14340177383084335,0.1340134980399943,False
Alolan Raichu,-0.004800988326665729,-0.16179825200696352,0.15092377359747633,False
Lycanroc Midnight,-0.0048277158435784725,-0.17292240322038435,0.16209950318225327,False
Clawitzer,-0.004936394650045503,-0.1612711812932646,0.1527751807593108,False
Meowstic ♀,-0.004984361390670167,-0.16726993464207685,0.15593973955340126,False
Hisuian Avalugg,-0.005140046697559839,-0.17000900570024233,0.15594671073810196,False
Mudsdale,-0.005311286791272748,-0.1597396129608067,0.1511069360643969,False
Umbreon,-0.005373193516963414,-0.16063037962621546,0.14983086967119333,False
Goodra,-0.005616218160416073,-0.1664412393410367,0.15557114506064237,False
Diggersby,-0.005808421995467991,-0.16576970753533052,0.1403194073640063,False
Paldean Tauros,-0.006606418786020345,-0.16884025821480533,0.15316872320797872,False
Hisuian Arcanine,-0.006708962257272303,-0.15108281804335352,0.13072202557760462,False
Chimecho,-0.006757152764328984,-0.1678543411304583,0.15286648099997524,False
Aggron,-0.0069431810216657565,-0.15858535868656673,0.14441100345623428,False
Hippowdon,-0.007454306063964553,-0.16262179160170898,0.14766919139642024,False
Slurpuff,-0.007791654677351005,-0.17189330372726727,0.1548341297545452,False
Dedenne,-0.008298877628285049,-0.16938383411664767,0.1498205894374055,False
Alolan Ninetales,-0.008408682409431587,-0.13783737702445747,0.11666677076453409,False
Gourgeist,-0.008697484594625932,-0.17139280887616104,0.1416788836604931,False
Luxray,-0.008866872303126163,-0.17175375810132645,0.15189462130349235,False
Sneasel,-0.009018044521304553,-0.16799346481789593,0.14258303236276046,False
Typhlosion,-0.009333756327526747,-0.16590154548871355,0.14335608748404338,False
Morpeko,-0.009409960455307604,-0.173065713180052,0.14115234129729642,False
Beartic,-0.009662284617602244,-0.1672185343284606,0.1483659490307136,False
Kleavor,-0.009750920222064956,-0.166290707347643,0.14298202888347877,False
Passimian,-0.011082767762936072,-0.18281071947058036,0.15670959765152487,False
Polteageist,-0.011205144032984947,-0.17433454242506505,0.1517095380732837,False
Rhyperior,-0.011996292048942165,-0.1768921643369339,0.14023337677812941,False
Politoed,-0.012337749619135457,-0.1429896600358325,0.1188339600840733,False
Ditto,-0.01259558057546593,-0.16499497796530874,0.13768162445929696,False
Reuniclus,-0.012706003216284815,-0.1723058479605747,0.13782904184593062,False
Emboar,-0.013162734328324514,-0.17270874778022643,0.1420972792394814,False
Sandaconda,-0.013567671468787545,-0.17785412460688074,0.14697965908087693,False
Maushold,-0.013680702742365783,-0.14300962354075503,0.11076856772827966,False
Torkoal,-0.013705250813795167,-0.13330710062776005,0.09830264998412748,False
Salazzle,-0.013767623107875701,-0.17872428341212004,0.13678025988770856,False
Houndoom,-0.013772184928500995,-0.17900669145664433,0.1466903648114605,False
Heat Rotom,-0.01382437079359055,-0.1514991634865604,0.11507861295844651,False
Slowbro,-0.014424561765279825,-0.17747025786677512,0.1437359676381343,False
Flapple,-0.014885575709585335,-0.17634340435482673,0.1459050389010413,False
Musharna,-0.01517051689560895,-0.17417040571305403,0.13819847944429114,False
Malamar,-0.015214580112891105,-0.16650059576999351,0.13326512520662123,False
Manectric,-0.01542319710835137,-0.18243739998428715,0.14609481532980362,False
Heracross,-0.015781907587205275,-0.17371739871765937,0.14664624641294421,False
Fan Rotom,-0.015979019198396845,-0.17965906251036398,0.1433254165571752,False
Overqwil,-0.016969703157740424,-0.1661752555936479,0.12426922999053594,False
Bastiodon,-0.01725872815007181,-0.1803895628668947,0.14085462298679258,False
Absol,-0.01919504055230189,-0.17998500478396606,0.13923105657142582,False
Skarmory,-0.019722354906039578,-0.18505124967641387,0.1330407152499706,False
Mr. Rime,-0.01980626496810871,-0.18409429689501036,0.13756552192901894,False
Rotom,-0.02028263301102192,-0.17436717201355953,0.1319431736715225,False
Lycanroc,-0.020381694383848445,-0.18585572238860587,0.13987249717806025,False
Chandelure,-0.02040337296358228,-0.16305472782113076,0.1146071727004904,False
Aurorus,-0.020405043628637144,-0.18880484450843152,0.13757061091350659,False
Vaporeon,-0.021092509719059165,-0.17975160880549523,0.13437097961734745,False
Conkeldurr,-0.021489430821966575,-0.17964718058297965,0.12749833669959568,False
Toxicroak,-0.023034665895587766,-0.1837971386145314,0.13148595880359654,False
Glaceon,-0.023156680494344082,-0.18980089913627207,0.13668486255507067,False
Sylveon,-0.023191749673846688,-0.14375412399966708,0.09278929486335775,False
Infernape,-0.023194669411348737,-0.18804314910091563,0.12666637677410522,False
Quaquaval,-0.023472571134569676,-0.18305782360836315,0.1268468398442196,False
Slowking,-0.023763689075209298,-0.1901666544881828,0.13194097748522904,False
Oranguru,-0.024336976757951153,-0.18056973267180967,0.11879685297248778,False
Ampharos,-0.024880996529182915,-0.17720161069567636,0.1254604511037015,False
Aerodactyl,-0.025039548071454212,-0.139701139693637,0.08668823270401173,False
Sceptile,-0.025782454229170054,-0.17122363637003213,0.11138675979112539,False
Victreebel,-0.02605486240345634,-0.18824384006512157,0.12805340767617884,False
Leafeon,-0.026296768655452114,-0.19283246265432172,0.13492605198717025,False
Annihilape,-0.026428972527940058,-0.16272697591792565,0.10468174229575501,False
Hisuian Samurott,-0.026891246152070183,-0.17472779284718937,0.11820428880468924,False
Heliolisk,-0.026935609806669,-0.1840426977553927,0.11808965800310722,False
Sinistcha,-0.029715220737455757,-0.1495595388297504,0.08684698367509917,False
Dragapult,-0.0308993804148251,-0.17946549556057848,0.10996571982731057,False
Vivillon,-0.03265432884139059,-0.18320953434612217,0.10093116392360463,False
Bellibolt,-0.03393939172330394,-0.18774159974452467,0.11661971692355226,False
Arcanine,-0.0367852185325023,-0.20164159897047926,0.116043102445816,False
Runerigus,-0.03742068869615255,-0.19944377325578944,0.11165306144502786,False
Frost Rotom,-0.0377465720396542,-0.20454336880189242,0.10930136315608532,False
Alakazam,-0.03775709291415323,-0.1976294269122518,0.12059437758059471,False
Basculegion ♀,-0.03830990161732177,-0.20148777154027617,0.10892172040527624,False
Scolipede,-0.03904436146844723,-0.20788081736377412,0.11069369373361967,False
Golurk,-0.039409297505578186,-0.20121871313443696,0.10894362525609148,False
Hisuian Zoroark,-0.04108426412138097,-0.1882582338459353,0.10060237023697786,False
Emolga,-0.04198370342377824,-0.21661059539768232,0.10866134463174985,False
Talonflame,-0.04387631443608146,-0.17433628624180603,0.08311576072016405,False
Feraligatr,-0.045194051671051796,-0.21107626168306998,0.10016495100328256,False
Gengar,-0.04528440081015944,-0.18875637547723287,0.09536517034943731,False
Steelix,-0.04638108183490711,-0.20621671201569886,0.09779737151645018,False
Tinkaton,-0.04692402496887489,-0.2017848651485007,0.08992171735944605,False
Meowscarada,-0.04721621313418616,-0.20643783205907001,0.09215690277493735,False
Serperior,-0.0477892690129986,-0.20922881805336577,0.09578540037480576,False
Jolteon,-0.04819799364787532,-0.2129805519145434,0.09887273145005492,False
Paldean Tauros Aqua Breed,-0.04866915310296219,-0.22073751019352458,0.09737684425120578,False
Greninja,-0.04939585911291269,-0.2071132891525787,0.09453891273098276,False
Machamp,-0.04975095672966596,-0.21186570243566294,0.09599504424051729,False
Espathra,-0.05040177861780439,-0.2204663780967224,0.09812449327553917,False
Clefable,-0.05365845700774762,-0.19758134833271224,0.07856115612201452,False
Gliscor,-0.05384552445474325,-0.21533169698194135,0.09075045451093906,False
Trevenant,-0.05385281607478945,-0.22805511179537638,0.0994333208311795,False
Palafin,-0.054757106025478626,-0.21407210165532484,0.09117051164403231,False
Mimikyu,-0.05480584152868651,-0.21817942784647354,0.08535351803546266,False
Cofagrigus,-0.05632344116173402,-0.2294734271327656,0.09215757057069876,False
Hatterene,-0.058783779681979315,-0.20345722221898327,0.07629102097074228,False
Meowstic,-0.06386946219765555,-0.23104918749537118,0.0819511781971259,False
Sableye,-0.06690559481391556,-0.18138612462696904,0.040773031234009084,False
Dragalge,-0.07748918344762677,-0.23588436474960142,0.06021272235563444,False
Ninetales,-0.09033408620805455,-0.25432720013089477,0.047199024881898824,False
Raichu,-0.10038519019640799,-0.23684312141720554,0.017144333365662245,False
