n,mean,q5,q95,squadra
7,2.9231302210064847,2.131716906377147,3.6835577484396835,Sneasler / Blastoise / Kingambit / Incineroar / Delphox / Sinistcha
5,2.731479391202115,1.9144780290107206,3.529862191525315,Blastoise / Delphox / Sneasler / Incineroar / Sinistcha / Kingambit
8,2.665162985564529,1.9455165704166748,3.4182770316759927,Froslass / Scovillain / Basculegion / Kingambit / Lycanroc Dusk / Sneasler
7,2.5932458242816785,1.8716078556478557,3.3077399298779797,Delphox / Eternal Flower Floette / Sinistcha / Kingambit / Sneasler / Incineroar
8,2.5564319580540156,1.8505182931862965,3.2685868257403463,Sinistcha / Kingambit / Sneasler / Eternal Flower Floette / Delphox / Incineroar
7,2.3541795343932623,1.6608808426174506,3.100159986617728,Froslass / Scovillain / Sneasler / Kingambit / Basculegion / Lycanroc Dusk
5,2.337251339525414,1.6804157536854303,3.0464075283908496,Charizard / Sylveon / Aerodactyl / Farigiraf / Garchomp / Kingambit
7,2.326318912771674,1.4501262964498143,3.160580264281769,Swampert / Pelipper / Archaludon / Venusaur / Maushold / Gholdengo
6,2.3244187182307035,1.659079446099792,3.0175420915266282,Charizard / Aerodactyl / Farigiraf / Garchomp / Sylveon / Kingambit
21,2.2975345212706975,1.4667924628876903,3.1561065175399667,Sinistcha / Incineroar / Milotic / Raichu / Eternal Flower Floette / Ceruledge
5,2.288431142222312,1.623211828405179,2.9928350441069447,Aerodactyl / Garchomp / Kingambit / Charizard / Sylveon / Farigiraf
5,2.2848943971878657,1.497827359972759,3.0526473500231117,Archaludon / Swampert / Pelipper / Gardevoir / Sinistcha / Incineroar
5,2.2708005946593617,1.5751594728630194,3.0559831051331856,Froslass / Scovillain / Basculegion / Kingambit / Sneasler / Lycanroc Dusk
6,2.258856980029793,1.3933335720506472,3.1352831150375544,Sinistcha / Incineroar / Milotic / Raichu / Floette / Ceruledge
5,2.252745149116862,1.5046197002198036,3.0043694417968916,Charizard / Eternal Flower Floette / Aegislash / Incineroar / Garchomp / Sinistcha
9,2.2510839797241533,1.6142017383801983,2.9299214644384017,Kingambit / Charizard / Aerodactyl / Farigiraf / Garchomp / Sylveon
7,2.2427314862960617,1.4142136905078433,3.0387959565067604,Excadrill / Tyranitar / Corviknight / Hydreigon / Scovillain / Houndstone
35,2.233674426394241,1.5795675862859075,2.9398886422733232,Eternal Flower Floette / Charizard / Whimsicott / Garchomp / Basculegion / Kingambit
10,2.2311359104027355,1.6159205140885495,2.9165793312334247,Charizard / Aerodactyl / Garchomp / Sylveon / Kingambit / Incineroar
