team,n,mean,q5,q95
Incineroar / Gardevoir / Talonflame / Tsareena / Maushold / Basculegion,5,1.0709942591190338,0.9330812186002732,1.1885795593261719
Swampert / Pelipper / Archaludon / Venusaur / Maushold / Gholdengo,7,0.9737585353851318,0.8248541116714477,1.0837250709533692
Blastoise / Delphox / Sneasler / Incineroar / Sinistcha / Kingambit,5,0.9265978956222534,0.7453380763530731,1.0580233752727508
Sinistcha / Kingambit / Sneasler / Eternal Flower Floette / Delphox / Incineroar,8,0.832904748916626,0.6859169840812683,0.9657933920621872
Delphox / Garchomp / Azumarill / Sinistcha / Incineroar / Glimmora,5,0.8261538088321686,0.6431310415267945,1.0432219564914704
Basculegion / Kingambit / Sneasler / Incineroar / Sinistcha / Eternal Flower Floette,7,0.819386715888977,0.6413511872291565,1.015909945964813
Delphox / Eternal Flower Floette / Sinistcha / Kingambit / Sneasler / Incineroar,7,0.7984243357181549,0.6391610324382782,0.9501572668552398
Charizard / Eternal Flower Floette / Aegislash / Incineroar / Garchomp / Sinistcha,5,0.7982754671573639,0.6542460441589355,0.9355608075857162
Swampert / Maushold / Archaludon / Pelipper / Gholdengo / Dragonite,6,0.7960360008478164,0.6188610583543778,0.9488265126943588
Gholdengo / Incineroar / Basculegion / Garchomp / Charizard / Whimsicott,10,0.795517772436142,0.6716257333755493,0.9285411864519119
Pelipper / Sneasler / Archaludon / Swampert / Sinistcha / Grimmsnarl,5,0.7822571277618409,0.6653238952159881,0.8743394672870636
Gengar / Swampert / Incineroar / Politoed / Archaludon / Vivillon,8,0.775087159872055,0.5976949840784073,0.9075127869844437
Torkoal / Farigiraf / Sylveon / Kingambit / Appletun / Kangaskhan,6,0.7729669100046158,0.6206257849931717,0.9487115740776061
Charizard / Eternal Flower Floette / Garchomp / Basculegion / Incineroar / Whimsicott,5,0.7603467965126037,0.6496255308389663,0.8635799586772919
Sinistcha / Incineroar / Milotic / Raichu / Eternal Flower Floette / Ceruledge,21,0.7511319959163666,0.5632887303829193,0.8967575550079345
Sneasler / Blastoise / Kingambit / Incineroar / Delphox / Sinistcha,7,0.7510139226913453,0.5927286595106125,0.906006360054016
Froslass / Scovillain / Basculegion / Kingambit / Lycanroc Dusk / Sneasler,8,0.7447586357593536,0.6276589542627334,0.8526475012302399
Froslass / Scovillain / Sneasler / Kingambit / Basculegion / Lycanroc Dusk,7,0.7310697209835052,0.6128851383924484,0.8797452062368393
Eternal Flower Floette / Sneasler / Sinistcha / Incineroar / Grimmsnarl / Wash Rotom,5,0.7206184035539627,0.4101561337709427,0.9842533111572265
Blastoise / Delphox / Incineroar / Sneasler / Sinistcha / Maushold,12,0.7131462961435318,0.5809014052152633,0.836219748854637
Dragonite / Basculegion / Scizor / Archaludon / Pelipper / Incineroar,5,0.7126722264289856,0.5422891229391098,0.9041236907243728
Froslass / Scovillain / Basculegion / Kingambit / Sneasler / Lycanroc Dusk,5,0.708603789806366,0.5816873490810395,0.8565344750881195
Charizard / Eternal Flower Floette / Garchomp / Whimsicott / Kingambit / Basculegion,28,0.7080350995063782,0.6266519129276276,0.8223537474870681
Charizard / Eternal Flower Floette / Garchomp / Basculegion / Incineroar / Whimsicott,5,0.6914115405082703,0.5334824532270431,0.8547976523637771
Charizard / Whimsicott / Garchomp / Basculegion / Gholdengo / Incineroar,10,0.688311688899994,0.5643658339977264,0.8141666769981384
Kingambit / Charizard / Aerodactyl / Farigiraf / Garchomp / Sylveon,23,0.684195249080658,0.6152310818433762,0.7693515449762344
