team,n,mean,q5,q95
Sneasler / Blastoise / Kingambit / Incineroar / Delphox / Sinistcha,7,2.047820719507222,1.6911680651678211,2.412376110398753
Blastoise / Delphox / Sneasler / Incineroar / Sinistcha / Kingambit,5,1.899190607849082,1.5540185082044777,2.2569911909091096
Delphox / Eternal Flower Floette / Sinistcha / Kingambit / Sneasler / Incineroar,7,1.8151784857393114,1.483856631832637,2.158319107552159
Froslass / Scovillain / Basculegion / Kingambit / Lycanroc Dusk / Sneasler,8,1.8149292991819659,1.4598863139187714,2.1911287543403115
Sinistcha / Kingambit / Sneasler / Eternal Flower Floette / Delphox / Incineroar,8,1.8084549435103114,1.4762427778873697,2.1485045959390505
Froslass / Scovillain / Sneasler / Kingambit / Basculegion / Lycanroc Dusk,7,1.6809336240430803,1.3416922945428786,2.039425768949205
Charizard / Eternal Flower Floette / Aegislash / Incineroar / Garchomp / Sinistcha,5,1.62798856423014,1.2161283508670986,2.050927866273115
Froslass / Scovillain / Basculegion / Kingambit / Sneasler / Lycanroc Dusk,5,1.6232329281060336,1.2808825241785111,1.9840536202245658
Swampert / Pelipper / Archaludon / Venusaur / Maushold / Gholdengo,7,1.5869374119263358,1.226656888161327,1.9458810615984945
Charizard / Sylveon / Aerodactyl / Farigiraf / Garchomp / Kingambit,5,1.5845151908673825,1.2563053732073166,1.917199760690764
Basculegion / Kingambit / Sneasler / Incineroar / Sinistcha / Eternal Flower Floette,7,1.5807309264315432,1.2241977126454497,1.9451277795343074
Charizard / Aerodactyl / Garchomp / Sylveon / Kingambit / Incineroar,10,1.580460636177969,1.2231439152190693,1.9640704830704638
Sinistcha / Incineroar / Milotic / Raichu / Eternal Flower Floette / Ceruledge,21,1.5679264064624971,1.2287807392417947,1.9036806851846577
Eternal Flower Floette / Charizard / Whimsicott / Garchomp / Basculegion / Kingambit,35,1.5600261058065532,1.2536746535191472,1.8778957019400055
Charizard / Aerodactyl / Farigiraf / Garchomp / Sylveon / Kingambit,6,1.542829938650512,1.224930515695686,1.870732719873101
Incineroar / Gardevoir / Talonflame / Tsareena / Maushold / Basculegion,5,1.5392638989361527,1.0710379943170207,1.998612707457568
Archaludon / Swampert / Pelipper / Gardevoir / Sinistcha / Incineroar,5,1.531949948130284,1.1421779961196594,1.9244182067952857
Eternal Flower Floette / Charizard / Whimsicott / Garchomp / Basculegion / Kingambit,5,1.5286930924954891,1.204589612670268,1.859174836262101
Kingambit / Charizard / Aerodactyl / Farigiraf / Garchomp / Sylveon,23,1.526821634002299,1.2183516713412463,1.8540764504009302
Kingambit / Charizard / Aerodactyl / Farigiraf / Garchomp / Sylveon,9,1.5261839504788615,1.211288902416952,1.8553240231819053
Aerodactyl / Garchomp / Kingambit / Charizard / Sylveon / Farigiraf,5,1.5191914044425472,1.1721610052348028,1.87902370283029
Scrafty / Farigiraf / Torkoal / Kingambit / Sneasler / Pyroar,6,1.5172251808520696,1.0882190908931544,1.9537289479259163
Charizard / Eternal Flower Floette / Garchomp / Whimsicott / Kingambit / Basculegion,28,1.5023254098695065,1.1982356588053542,1.8145368916228362
Sinistcha / Incineroar / Milotic / Raichu / Floette / Ceruledge,6,1.4963793407033485,1.1401311770385938,1.856055718666419
Charizard / Aerodactyl / Kingambit / Farigiraf / Sylveon / Garchomp,11,1.4939933371941492,1.1854878303305965,1.8204748218010915
Gengar / Swampert / Incineroar / Politoed / Archaludon / Vivillon,8,1.4908981105411114,1.1136858737307542,1.8809521902149169
Kingambit / Charizard / Garchomp / Basculegion / Whimsicott / Eternal Flower Floette,5,1.489512957950679,1.1773860646311254,1.8109988416557483
Charizard / Farigiraf / Venusaur / Garchomp / Incineroar / Sylveon,6,1.484802287552531,1.1347704871703768,1.8432346248350426
Swampert / Maushold / Archaludon / Pelipper / Gholdengo / Dragonite,6,1.482103133506843,1.086309394867819,1.8907765760864739
Charizard / Aerodactyl / Garchomp / Kingambit / Sylveon / Farigiraf,5,1.4712685372940932,1.1481456849282607,1.8034962985850842
Metagross / Charizard / Aerodactyl / Sylveon / Hisuian Samurott / Garchomp,6,1.4671078528000698,1.0797344781020692,1.8676589384415425
Excadrill / Tyranitar / Corviknight / Hydreigon / Scovillain / Houndstone,7,1.4586657108014232,1.046261051229563,1.8755569072638698
Torkoal / Farigiraf / Sylveon / Kingambit / Appletun / Kangaskhan,6,1.4540446199721435,1.0050291990759073,1.9356414388997836
Gholdengo / Incineroar / Basculegion / Garchomp / Charizard / Whimsicott,10,1.444073086713678,1.1012376546620417,1.7891171216300996
Charizard / Garchomp / Venusaur / Sylveon / Farigiraf / Incineroar,6,1.4426950414272397,1.0942242241491646,1.807925181334381
Blastoise / Delphox / Incineroar / Sneasler / Sinistcha / Maushold,12,1.4405231187901284,1.0896742320503476,1.8042125576278867
Charizard / Eternal Flower Floette / Garchomp / Basculegion / Incineroar / Whimsicott,5,1.4340955465754113,1.1165024937700732,1.7608655877249753
Pyroar / Scrafty / Farigiraf / Torkoal / Venusaur / Mamoswine,11,1.427376319738013,1.0466372966431656,1.8158277262033082
Pyroar / Vileplume / Torkoal / Incineroar / Eternal Flower Floette / Farigiraf,7,1.4255682197522876,1.0512148470965792,1.8102698734214695
Pelipper / Sneasler / Archaludon / Swampert / Sinistcha / Grimmsnarl,5,1.3931019761901815,1.0320518345431187,1.786841968097528
Charizard / Basculegion / Kingambit / Eternal Flower Floette / Whimsicott / Garchomp,19,1.384439779838586,1.0694494855030279,1.7091823720262531
Metagross / Charizard / Aerodactyl / Sylveon / Garchomp / Incineroar,5,1.376690180281492,1.0281276369920587,1.7296452572380325
Whimsicott / Eternal Flower Floette / Charizard / Garchomp / Basculegion / Kingambit,8,1.3764858633312949,1.070700139110801,1.6935549949723412
Charizard / Eternal Flower Floette / Garchomp / Basculegion / Incineroar / Whimsicott,5,1.3763948506383645,1.0542840140156031,1.703948916576599
Charizard / Whimsicott / Eternal Flower Floette / Garchomp / Basculegion / Kingambit,7,1.3529882017372956,1.0404314839716993,1.6758019265511153
Sylveon / Farigiraf / Garchomp / Kingambit / Aerodactyl / Charizard,10,1.3473746655657328,1.0268604756086024,1.6832591880812149
Grimmsnarl / Swampert / Pelipper / Archaludon / Sinistcha / Metagross,52,1.3458614540440061,1.0325674493301604,1.6673237445552413
Swampert / Pelipper / Sinistcha / Archaludon / Grimmsnarl / Gholdengo,12,1.3416187223064144,1.006820219025155,1.6941681699629592
Charizard / Whimsicott / Garchomp / Basculegion / Gholdengo / Incineroar,10,1.3348552690882616,1.0055109006823422,1.6727854907800677
Charizard / Garchomp / Whimsicott / Hydreigon / Sneasler / Basculegion,6,1.3206422647758855,0.9749572116545575,1.6778504498287468
Metagross / Sneasler / Hydreigon / Incineroar / Aerodactyl / Eternal Flower Floette,8,1.2999677331831379,0.9234440335052011,1.6815122475354545
Torkoal / Farigiraf / Sylveon / Kingambit / Vileplume / Kangaskhan,6,1.298941615078474,0.9009342816257201,1.7172647787892557
Raichu / Mawile / Sinistcha / Ceruledge / Milotic / Incineroar,25,1.2929461883307334,0.9482605728040742,1.628731725940384
Sneasler / Incineroar / Eternal Flower Floette / Kingambit / Sinistcha / Dragapult,6,1.2840922249030315,0.8888188848554411,1.681478820871905
Kingambit / Charizard / Farigiraf / Aerodactyl / Sylveon / Garchomp,5,1.276813855873767,0.9303650545958695,1.6308277786672942
Raichu / Gholdengo / Garchomp / Eternal Flower Floette / Whimsicott / Basculegion,11,1.2761854557500738,0.9452160361450497,1.6194642401670942
Staraptor / Houndstone / Tyranitar / Wash Rotom / Excadrill / Venusaur,7,1.270724923298619,0.8466627639392312,1.6998123982463087
Swampert / Eternal Flower Floette / Pelipper / Grimmsnarl / Sinistcha / Archaludon,14,1.2672283029985594,0.9452117215993313,1.6006334250995429
