species_1,species_2,n,mean,q5,q95,robust
Archaludon,Grimmsnarl,495,0.09494049380131314,0.0029246117006545345,0.20619274361731843,True
Kingambit,Sneasler,567,0.09081651405465291,0.018970367134227333,0.17181218848519933,True
Kingambit,Sinistcha,388,0.08936620848688794,0.018993409353959084,0.17022982745148882,True
Eternal Flower Floette,Kingambit,571,0.07984412789331818,0.006914419520915609,0.1622922305014393,True
Gengar,Grimmsnarl,32,0.07882905924297695,-0.02748126374204017,0.2044237534432178,False
Sinistcha,Tyranitar,136,0.078426083205878,-0.012736299581356044,0.19431050544008263,False
Gholdengo,Tyranitar,42,0.07599968793708094,-0.01440269284461407,0.19687430957647983,False
Blaziken,Kingambit,199,0.07484597217721566,-0.01383298647218212,0.1762874895412897,False
Gholdengo,Scovillain,45,0.07397630909203856,-0.023241737062603383,0.20682706821365165,False
Charizard,Hydreigon,161,0.07002828335408927,-0.01617920322921217,0.1750198558482947,False
Blaziken,Sinistcha,54,0.07001445618964273,-0.020606096632643095,0.1740014694874469,False
Milotic,Sinistcha,187,0.0696775761107946,-0.018639299298453427,0.17625669194636498,False
Charizard,Garchomp,1567,0.0680285299277421,-0.005255622275229144,0.16009918441672186,False
Eternal Flower Floette,Whimsicott,517,0.0655388319240203,-0.0020716329269083234,0.14942524418051534,False
Alolan Ninetales,Sinistcha,82,0.06549665665758513,-0.02193299737127644,0.16881091994914715,False
Grimmsnarl,Swampert,469,0.0654188237912384,-0.01677315963289337,0.1585570941573314,False
Gengar,Swampert,40,0.06513278190618245,-0.030657174418904545,0.1872537386538518,False
Sableye,Sinistcha,188,0.06504449925586506,-0.03187817261328284,0.18122855114699182,False
Archaludon,Gengar,61,0.06469539030637254,-0.03451519859124798,0.1820607729141385,False
Garchomp,Hydreigon,145,0.06439997347455552,-0.012210329855761388,0.16724789852832847,False
Farigiraf,Sylveon,602,0.06215207866786182,-0.0004992466696063164,0.1397891135452293,False
Kingambit,Tyranitar,14,0.06214100895319451,-0.03885719477569929,0.17116711849544952,False
Grimmsnarl,Pelipper,525,0.061715672540959755,-0.021633569385655724,0.15555418319064937,False
Gengar,Politoed,91,0.06110715229029207,-0.04011421341630328,0.18951652016878265,False
Scovillain,Tyranitar,33,0.06014109135281384,-0.03505199032643969,0.1809333135564889,False
Gengar,Vivillon,28,0.05874473984759875,-0.04236619298365676,0.1874161256080239,False
Charizard,Farigiraf,507,0.05626617051965632,-0.015617865776998937,0.13865809341597957,False
Alolan Ninetales,Snorlax,20,0.05592808130426603,-0.04488865219893664,0.18551761860930632,False
Eternal Flower Floette,Sinistcha,490,0.05469809474500664,-0.024285227716689773,0.14137422114629206,False
Scovillain,Sinistcha,11,0.05432487089158146,-0.0459414265427404,0.17057677313474734,False
Eternal Flower Floette,Sneasler,324,0.05277947522321286,-0.028742490985415703,0.14007198174328966,False
Charizard,Kangaskhan,18,0.05173652465736724,-0.03866314345197763,0.1644495309173298,False
Alolan Ninetales,Kingambit,120,0.05165339386816724,-0.03399134331212217,0.14728976457190016,False
Sneasler,Wash Rotom,89,0.05146156682359347,-0.026522299771834804,0.14619697814363677,False
Eternal Flower Floette,Tyranitar,15,0.05119277528574133,-0.04712686984200662,0.16598652496063857,False
Archaludon,Politoed,95,0.051161267109418915,-0.0458556155282721,0.1653151889569073,False
Charizard,Sylveon,659,0.05013367113869034,-0.01644403438925345,0.12597790412846352,False
Alolan Ninetales,Blaziken,78,0.049949602714741345,-0.036867421384375064,0.1537093988517018,False
Charizard,Scrafty,18,0.049907039257810926,-0.03229680828734791,0.1566432303833815,False
Ceruledge,Sinistcha,133,0.04863656160412058,-0.04327003108986636,0.14883845828095954,False
Delphox,Sinistcha,355,0.04827435078563103,-0.0346740590112957,0.15318936598236715,False
Archaludon,Vivillon,19,0.048019924059430605,-0.05195846450198665,0.16137828194069226,False
Farigiraf,Pyroar,214,0.04787416547903263,-0.038048797001395865,0.1474381771903588,False
Gholdengo,Hydreigon,33,0.04713152969797884,-0.05239395577086603,0.16527943509618098,False
Gyarados,Kingambit,30,0.04706135147929274,-0.04940335709561253,0.15266661764220346,False
Gholdengo,Wash Rotom,40,0.047027629923187514,-0.04156457816841674,0.15349991825046888,False
Blaziken,Sneasler,23,0.04644293699258256,-0.03984473090599497,0.14716469384329972,False
Blaziken,Eternal Flower Floette,32,0.045622835544407526,-0.0493922518110953,0.14911874110594633,False
Annihilape,Farigiraf,17,0.04548013496558273,-0.04764389341714144,0.15267134087789944,False
Froslass,Sneasler,207,0.04547696177425999,-0.02712543582570988,0.1297289307211838,False
Ceruledge,Kingambit,24,0.04519145793174692,-0.048313389021716266,0.15208053686073428,False
Aerodactyl,Farigiraf,369,0.04491523950425695,-0.023410343170403032,0.12829193902843528,False
Garchomp,Gholdengo,370,0.04433091456802151,-0.033806355495733006,0.1374738218786007,False
Kingambit,Wash Rotom,47,0.04425150727235158,-0.04163247066761724,0.13856118238287596,False
Charizard,Mamoswine,42,0.0442487075234801,-0.051352745783913994,0.15586761920479789,False
Milotic,Tyranitar,23,0.043928862393751815,-0.042891656946283024,0.14747730190727715,False
Gholdengo,Kingambit,37,0.04344377166310258,-0.05416108586271329,0.14813987543762522,False
Sinistcha,Snorlax,20,0.0432701009099469,-0.0679725556575128,0.16618036252117593,False
Annihilape,Charizard,31,0.043213787808834406,-0.05367942420466619,0.15232432046802574,False
Gholdengo,Sneasler,74,0.04290802060569405,-0.05165364729771969,0.1544471734400949,False
Kingambit,Whimsicott,656,0.0424729862342694,-0.021643796378410303,0.11063683689729678,False
Charizard,Whimsicott,917,0.04240672528975933,-0.020778672453096256,0.1167609653802773,False
Grimmsnarl,Politoed,32,0.04183107113688529,-0.06221448130546583,0.15435294675834677,False
Gholdengo,Sinistcha,166,0.04163940083721725,-0.0459873469109759,0.14020436548700566,False
Farigiraf,Torkoal,508,0.041247195771868146,-0.03454871779493163,0.1301510064378768,False
Kingambit,Milotic,24,0.041132688429002855,-0.05131768600773571,0.13783797669889583,False
Basculegion,Eternal Flower Floette,611,0.04109855179206958,-0.019999982368385058,0.12189132665430519,False
Raichu,Sableye,29,0.0404063972757527,-0.04436851487613586,0.1456512210175413,False
Farigiraf,Scrafty,156,0.04010108679736012,-0.03557410474432037,0.12724821908951064,False
Kingambit,Lycanroc Dusk,93,0.03985979443507238,-0.050720861840885104,0.14175494201927744,False
Milotic,Scovillain,6,0.03952365702023746,-0.04884067078467113,0.1482729275063038,False
Politoed,Vivillon,20,0.03934495356830088,-0.05319340669133796,0.14742309296014855,False
Sneasler,Whimsicott,241,0.039134708551040925,-0.026269034225676217,0.11154173306941216,False
Hydreigon,Mamoswine,19,0.03902319461096607,-0.05132664404842983,0.1507562574735453,False
Primarina,Sinistcha,32,0.038693193356388635,-0.06298368348987202,0.14739710332479994,False
Gholdengo,Milotic,25,0.03841963427125142,-0.05252470540321782,0.14453201508223026,False
Farigiraf,Pelipper,104,0.03827458944749307,-0.0408023325897893,0.13010068159501445,False
Swampert,Vivillon,21,0.03786048557393797,-0.05023617259711746,0.14104378676868454,False
Grimmsnarl,Venusaur,128,0.03762458117468395,-0.03209167787617803,0.11607751186864945,False
Gardevoir,Sinistcha,37,0.037618482779825414,-0.06168956444779965,0.15104073465077134,False
Annihilape,Sylveon,14,0.037404019789160754,-0.04498320010948419,0.12965678064700387,False
Annihilape,Pelipper,17,0.037387044254020035,-0.04431508246522727,0.13590021232744007,False
Azumarill,Sinistcha,21,0.03722206722271424,-0.07134547115831491,0.16557689750942395,False
Kingambit,Snorlax,6,0.03706450709134468,-0.07767156590031363,0.15791937218365468,False
Froslass,Kingambit,209,0.0370189421057035,-0.04553949145463564,0.13355919650927617,False
Sinistcha,Staraptor,244,0.03692647991982184,-0.03925014413582598,0.13052670549714776,False
Floette,Kingambit,45,0.0364219197569394,-0.058724306436000885,0.13348466014858756,False
Aerodactyl,Sylveon,583,0.03624610346387373,-0.027477482237036187,0.11203575633543529,False
Gengar,Snorlax,29,0.036019778914438014,-0.08647834365427859,0.17678701097248717,False
Kingambit,Primarina,23,0.036003177867413194,-0.06228625131509007,0.140247811993192,False
Kingambit,Scovillain,102,0.03599332932720447,-0.06038792390045662,0.13748027555900297,False
Sinistcha,Toxapex,26,0.035908362647122875,-0.0643710083674208,0.14923798453872014,False
Kingambit,Toxapex,9,0.035770027399914285,-0.06971534023860358,0.15390250096295524,False
Floette,Gholdengo,11,0.035750021823063395,-0.05953862542496916,0.15324657235783817,False
Glimmora,Grimmsnarl,10,0.03572760549729172,-0.06270808201121239,0.15046816813115457,False
Archaludon,Sableye,278,0.03571580286871774,-0.054959889949117206,0.14500055542720797,False
Blaziken,Gholdengo,15,0.035591461897865634,-0.06775885324102178,0.15691208647190957,False
Annihilape,Grimmsnarl,33,0.0355580672772601,-0.05977755126282788,0.1440319066944811,False
Basculegion,Sneasler,367,0.035460337465133135,-0.022852927834692918,0.1089416676207948,False
Farigiraf,Kangaskhan,158,0.03513249294993828,-0.05221434872347092,0.12998154931383418,False
Lycanroc Dusk,Sneasler,84,0.03472706193794486,-0.044167471009892184,0.12553516945773316,False
Floette,Tyranitar,8,0.034666203154015536,-0.05644687276188627,0.13915209080855379,False
Farigiraf,Kommo-o,12,0.034609051102365423,-0.05372381485502793,0.1409047577010419,False
Pyroar,Scrafty,56,0.034289259521650045,-0.04718315943548201,0.1322062926553058,False
Pelipper,Swampert,1012,0.0342645655643178,-0.03950970929764832,0.11985117919999093,False
Blastoise,Delphox,87,0.03402334134473355,-0.04228055400368172,0.13410471695129447,False
Pelipper,Sylveon,63,0.033903899649452424,-0.04088045411813632,0.11913783186295629,False
Hydreigon,Mawile,28,0.03371182741283123,-0.0550792760198198,0.1414764210379463,False
Hydreigon,Sylveon,33,0.03353879367410598,-0.04438828245127919,0.12785332655509427,False
Politoed,Swampert,66,0.03329801844093906,-0.058917688978903926,0.13731531324361257,False
Blaziken,Wash Rotom,9,0.03320064427264659,-0.052069382031680905,0.13071238176623495,False
Kommo-o,Torkoal,10,0.03308761597109266,-0.04901305311022874,0.13609098738288067,False
Gyarados,Sinistcha,29,0.032833491292541955,-0.06791397194326633,0.14499407377944967,False
Scrafty,Sylveon,63,0.03283286800154747,-0.03504067681467262,0.11274610652338743,False
Gholdengo,Whimsicott,332,0.03277359143014817,-0.03449358027062631,0.11120150206699224,False
Gholdengo,Heat Rotom,9,0.03267809709179325,-0.06775776790156353,0.14684801034989445,False
Azumarill,Charizard,19,0.03264903399688491,-0.0690174891585161,0.154391742718551,False
Eternal Flower Floette,Milotic,86,0.03225672869716712,-0.052026892130713806,0.12438211122021628,False
Kangaskhan,Pyroar,21,0.032128214218664033,-0.06079447795711969,0.13829132728701984,False
Farigiraf,Hisuian Typhlosion,22,0.03196185139784578,-0.06052275038925859,0.13170108468362368,False
Mawile,Sylveon,32,0.03166926043263981,-0.042971879273949694,0.12032861238488218,False
Gardevoir,Kingambit,23,0.031206359252489015,-0.06961426088523366,0.14387381685936673,False
Eternal Flower Floette,Hisuian Arcanine,7,0.031202674474452508,-0.0640356884355292,0.14585822621310823,False
Charizard,Mawile,84,0.031171878838433198,-0.05367964678367359,0.12118059112580633,False
Ceruledge,Gardevoir,14,0.03093322117894819,-0.050992985391491615,0.131200928286702,False
Charizard,Gholdengo,151,0.03069107219388523,-0.05394476212712366,0.1279356289501383,False
Farigiraf,Gallade,57,0.030588009400253614,-0.05784406480944661,0.12991893445737082,False
Tyranitar,Wash Rotom,73,0.030378138289275575,-0.05496654711116642,0.1270734623644816,False
Kangaskhan,Mawile,71,0.030204316396293965,-0.05392531495806363,0.1263011305506354,False
Mawile,Scrafty,34,0.030174309995937242,-0.0500042226469095,0.11869078362038815,False
Aerodactyl,Torkoal,91,0.030048355974265507,-0.04071140769304123,0.11651865598613471,False
Mimikyu,Sinistcha,5,0.030041802241410395,-0.07905429539812142,0.146320452930335,False
Alolan Ninetales,Scovillain,15,0.03002685212579946,-0.07315706878379417,0.14345792539164,False
Hydreigon,Sneasler,90,0.029917447199598497,-0.05993660102605445,0.1338542519414699,False
Tyranitar,Whimsicott,37,0.029564787996189123,-0.045501594102153944,0.11444130745252376,False
Blastoise,Sinistcha,116,0.029426734525885047,-0.06082325527477572,0.13497563824587575,False
Scovillain,Sneasler,104,0.029381304845013362,-0.05824122721314731,0.12665790199624377,False
Froslass,Wash Rotom,32,0.029173900642248632,-0.046821549753386926,0.11630944449271326,False
Eternal Flower Floette,Scovillain,8,0.029154762023868967,-0.07113911424963801,0.14115757471548096,False
Dragapult,Sinistcha,18,0.028834784364214685,-0.07957997983787134,0.14654664786496935,False
Blaziken,Milotic,18,0.02877888538763055,-0.05972990099883806,0.12306399507639314,False
Floette,Sinistcha,41,0.028770156168108976,-0.060109100166760826,0.13154999391632216,False
Sneasler,Tyranitar,60,0.028747899170664972,-0.06393200733860904,0.12397837331316014,False
Eternal Flower Floette,Excadrill,8,0.02870208699944913,-0.06294871373966221,0.13702702575024434,False
Hydreigon,Wash Rotom,20,0.028471482935069643,-0.05882507240684165,0.13126084984444616,False
Eternal Flower Floette,Gholdengo,91,0.028411017999825722,-0.06766313553828661,0.12708707775752928,False
Archaludon,Swampert,970,0.028364761933314032,-0.056033763486576856,0.11231099857894365,False
Alolan Ninetales,Milotic,24,0.028337592996717828,-0.05515353485200259,0.12182125328958508,False
Mawile,Pyroar,22,0.028291543774430498,-0.059974674707142274,0.12489685703185748,False
Pelipper,Venusaur,172,0.02814765108499591,-0.03234443754743981,0.10094942436256793,False
Hydreigon,Whimsicott,88,0.027919133010800064,-0.04526948052822645,0.11016443806702313,False
Basculegion,Whimsicott,1083,0.027800253873887088,-0.020164491746374413,0.08560045293268345,False
Gyarados,Sneasler,20,0.02779358595550499,-0.0622487815184527,0.12454475495058287,False
Floette,Sneasler,31,0.0276739314687899,-0.060931642126301915,0.12461720925129674,False
Ceruledge,Eternal Flower Floette,71,0.02762257286790647,-0.06325797109841756,0.1198611431866694,False
Azumarill,Kingambit,5,0.027555081713941176,-0.08929658867518382,0.14552814273679393,False
Garchomp,Sylveon,718,0.027522198629305283,-0.03156997854476098,0.09426146776230701,False
Pyroar,Sylveon,44,0.027506506416484656,-0.05095289744268465,0.11854402061134894,False
Kangaskhan,Whimsicott,18,0.027342242850793338,-0.04738588754997783,0.11583131800648913,False
Azumarill,Kangaskhan,6,0.027123518192752372,-0.06855594863740098,0.1411069425126332,False
Eternal Flower Floette,Wash Rotom,31,0.027030810447772842,-0.06328727119417218,0.1252308695480936,False
Archaludon,Lopunny,7,0.02696150433288142,-0.07842116055586772,0.14645916762559075,False
Alolan Ninetales,Ceruledge,44,0.02676215976213465,-0.06609783681480678,0.13006547440293476,False
Eternal Flower Floette,Pyroar,80,0.026508250590547792,-0.06818662297881166,0.13237409297575867,False
Ceruledge,Milotic,115,0.026493579534137213,-0.0505499881532263,0.11617341258324176,False
